% lon        lat           depth(km)    x(km)   y(km)        dx              dy              slip(m)     rake             dip          strike      timerup(s)    rise(s)
13.1542349 42.8213005 -6.83396 -5.0000000e-01 -7.5000000e+00 5.0000000e+02 5.0000000e+02 4.5353028e-01 -4.1075460e+01 3.6000000e+01 2.1000000e+02 2.6189140e-01 3.6000000e+00
13.1499395 42.8231201 -7.12785 -5.0000000e-01 -8.0000000e+00 5.0000000e+02 5.0000000e+02 3.0320162e-01 -5.0334539e+01 3.6000000e+01 2.1000000e+02 1.8518519e-01 3.6000000e+00
13.1456451 42.8249397 -7.42174 -5.0000000e-01 -8.5000000e+00 5.0000000e+02 5.0000000e+02 2.1816011e-01 -5.3199371e+01 3.6000000e+01 2.1000000e+02 2.6189140e-01 3.6000000e+00
13.1413498 42.8267593 -7.71564 -5.0000000e-01 -9.0000000e+00 5.0000000e+02 5.0000000e+02 1.7859140e-01 -4.3075347e+01 3.6000000e+01 2.1000000e+02 4.1408666e-01 3.6000000e+00
13.1370554 42.8285789 -8.00953 -5.0000000e-01 -9.5000000e+00 5.0000000e+02 5.0000000e+02 1.6479575e-01 -2.4078786e+01 3.6000000e+01 2.1000000e+02 5.8560697e-01 3.6000000e+00
13.1327600 42.8303986 -8.30342 -5.0000000e-01 -1.0000000e+01 5.0000000e+02 5.0000000e+02 1.5707344e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 7.6353808e-01 3.6000000e+00
13.1284657 42.8322182 -8.59732 -5.0000000e-01 -1.0500000e+01 5.0000000e+02 5.0000000e+02 1.6319270e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 9.4426287e-01 3.6000000e+00
13.1241703 42.8340378 -8.89121 -5.0000000e-01 -1.1000000e+01 5.0000000e+02 5.0000000e+02 1.8931957e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 1.1264375e+00 3.6000000e+00
13.1198759 42.8358574 -9.1851 -5.0000000e-01 -1.1500000e+01 5.0000000e+02 5.0000000e+02 2.1335095e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 1.3094570e+00 3.6000000e+00
13.1155806 42.8376770 -9.47899 -5.0000000e-01 -1.2000000e+01 5.0000000e+02 5.0000000e+02 2.1318375e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 1.4930107e+00 3.6000000e+00
13.1112852 42.8394966 -9.77289 -5.0000000e-01 -1.2500000e+01 5.0000000e+02 5.0000000e+02 1.8513413e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 1.6769232e+00 3.6000000e+00
13.1069908 42.8413162 -10.0668 -5.0000000e-01 -1.3000000e+01 5.0000000e+02 5.0000000e+02 1.4025363e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 1.8610881e+00 3.6000000e+00
13.2241831 42.7864685 -1.83778 0.0000000e+00 1.0000000e+00 5.0000000e+02 5.0000000e+02 0.0000000e+00 -1.0000000e+02 3.6000000e+01 2.1000000e+02 3.3333333e+00 3.6000000e+00
13.2198887 42.7882881 -2.13168 0.0000000e+00 5.0000000e-01 5.0000000e+02 5.0000000e+02 0.0000000e+00 -1.0000000e+02 3.6000000e+01 2.1000000e+02 3.1481481e+00 3.6000000e+00
13.2155933 42.7901077 -2.42557 0.0000000e+00 0.0000000e+00 5.0000000e+02 5.0000000e+02 1.2063439e-01 -8.4612414e+01 3.6000000e+01 2.1000000e+02 2.9629630e+00 3.6000000e+00
13.2112980 42.7919273 -2.71946 0.0000000e+00 -5.0000000e-01 5.0000000e+02 5.0000000e+02 7.5698326e-01 -2.1667426e+01 3.6000000e+01 2.1000000e+02 2.7777778e+00 3.6000000e+00
13.2070036 42.7937469 -3.01336 0.0000000e+00 -1.0000000e+00 5.0000000e+02 5.0000000e+02 1.6791228e+00 -1.5668977e+01 3.6000000e+01 2.1000000e+02 2.5925926e+00 3.6000000e+00
13.2027082 42.7955666 -3.30725 0.0000000e+00 -1.5000000e+00 5.0000000e+02 5.0000000e+02 2.5621938e+00 -1.4172664e+01 3.6000000e+01 2.1000000e+02 2.4074074e+00 3.6000000e+00
13.1984138 42.7973862 -3.60114 0.0000000e+00 -2.0000000e+00 5.0000000e+02 5.0000000e+02 3.0813369e+00 -1.4024173e+01 3.6000000e+01 2.1000000e+02 2.2222222e+00 3.6000000e+00
13.1941185 42.7992058 -3.89503 0.0000000e+00 -2.5000000e+00 5.0000000e+02 5.0000000e+02 3.0779387e+00 -1.4910426e+01 3.6000000e+01 2.1000000e+02 2.0370370e+00 3.6000000e+00
13.1898241 42.8010254 -4.18893 0.0000000e+00 -3.0000000e+00 5.0000000e+02 5.0000000e+02 2.7492520e+00 -1.6733347e+01 3.6000000e+01 2.1000000e+02 1.8518519e+00 3.6000000e+00
13.1855288 42.8028450 -4.48282 0.0000000e+00 -3.5000000e+00 5.0000000e+02 5.0000000e+02 2.3042179e+00 -1.9394437e+01 3.6000000e+01 2.1000000e+02 1.6666667e+00 3.6000000e+00
13.1812344 42.8046646 -4.77671 0.0000000e+00 -4.0000000e+00 5.0000000e+02 5.0000000e+02 1.9517771e+00 -2.2058610e+01 3.6000000e+01 2.1000000e+02 1.4814815e+00 3.6000000e+00
13.1769390 42.8064842 -5.0706 0.0000000e+00 -4.5000000e+00 5.0000000e+02 5.0000000e+02 1.7377014e+00 -2.3669860e+01 3.6000000e+01 2.1000000e+02 1.2962963e+00 3.6000000e+00
13.1726446 42.8083038 -5.3645 0.0000000e+00 -5.0000000e+00 5.0000000e+02 5.0000000e+02 1.5538709e+00 -2.4729483e+01 3.6000000e+01 2.1000000e+02 1.1111111e+00 3.6000000e+00
13.1683493 42.8101234 -5.65839 0.0000000e+00 -5.5000000e+00 5.0000000e+02 5.0000000e+02 1.3783891e+00 -2.5565796e+01 3.6000000e+01 2.1000000e+02 9.2592593e-01 3.6000000e+00
13.1640549 42.8119431 -5.95228 0.0000000e+00 -6.0000000e+00 5.0000000e+02 5.0000000e+02 1.1893594e+00 -2.6792820e+01 3.6000000e+01 2.1000000e+02 7.4074074e-01 3.6000000e+00
13.1597595 42.8137627 -6.24617 0.0000000e+00 -6.5000000e+00 5.0000000e+02 5.0000000e+02 9.6416299e-01 -2.9277937e+01 3.6000000e+01 2.1000000e+02 5.5555556e-01 3.6000000e+00
13.1554642 42.8155823 -6.54007 0.0000000e+00 -7.0000000e+00 5.0000000e+02 5.0000000e+02 7.2007131e-01 -3.3695100e+01 3.6000000e+01 2.1000000e+02 3.7037037e-01 3.6000000e+00
13.1511698 42.8174019 -6.83396 0.0000000e+00 -7.5000000e+00 5.0000000e+02 5.0000000e+02 4.9502308e-01 -4.0887062e+01 3.6000000e+01 2.1000000e+02 1.8518519e-01 3.6000000e+00
13.1468744 42.8192215 -7.12785 0.0000000e+00 -8.0000000e+00 5.0000000e+02 5.0000000e+02 3.2695706e-01 -4.9932790e+01 3.6000000e+01 2.1000000e+02 0.0000000e+00 3.6000000e+00
13.1425800 42.8210411 -7.42174 0.0000000e+00 -8.5000000e+00 5.0000000e+02 5.0000000e+02 2.3374421e-01 -5.2675830e+01 3.6000000e+01 2.1000000e+02 1.8518519e-01 3.6000000e+00
13.1382847 42.8228607 -7.71564 0.0000000e+00 -9.0000000e+00 5.0000000e+02 5.0000000e+02 1.9256589e-01 -4.2286564e+01 3.6000000e+01 2.1000000e+02 3.7037037e-01 3.6000000e+00
13.1339903 42.8246803 -8.00953 0.0000000e+00 -9.5000000e+00 5.0000000e+02 5.0000000e+02 1.8032638e-01 -2.3521256e+01 3.6000000e+01 2.1000000e+02 5.5555556e-01 3.6000000e+00
13.1296949 42.8264999 -8.30342 0.0000000e+00 -1.0000000e+01 5.0000000e+02 5.0000000e+02 1.7393000e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 7.4074074e-01 3.6000000e+00
13.1254005 42.8283195 -8.59732 0.0000000e+00 -1.0500000e+01 5.0000000e+02 5.0000000e+02 1.8166521e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 9.2592593e-01 3.6000000e+00
13.1211052 42.8301392 -8.89121 0.0000000e+00 -1.1000000e+01 5.0000000e+02 5.0000000e+02 2.1103393e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 1.1111111e+00 3.6000000e+00
13.1168108 42.8319626 -9.1851 0.0000000e+00 -1.1500000e+01 5.0000000e+02 5.0000000e+02 2.3776069e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 1.2962963e+00 3.6000000e+00
13.1125154 42.8337822 -9.47899 0.0000000e+00 -1.2000000e+01 5.0000000e+02 5.0000000e+02 2.3757000e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 1.4814815e+00 3.6000000e+00
13.1082211 42.8356018 -9.77289 0.0000000e+00 -1.2500000e+01 5.0000000e+02 5.0000000e+02 2.0641594e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 1.6666667e+00 3.6000000e+00
13.1039257 42.8374214 -10.0668 0.0000000e+00 -1.3000000e+01 5.0000000e+02 5.0000000e+02 1.5643625e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 1.8518519e+00 3.6000000e+00
13.2211180 42.7825737 -1.83778 5.0000000e-01 1.0000000e+00 5.0000000e+02 5.0000000e+02 0.0000000e+00 -1.0000000e+02 3.6000000e+01 2.1000000e+02 3.3384734e+00 3.6000000e+00
13.2168236 42.7843933 -2.13168 5.0000000e-01 5.0000000e-01 5.0000000e+02 5.0000000e+02 1.9417734e-02 -1.0000000e+02 3.6000000e+01 2.1000000e+02 3.1535901e+00 3.6000000e+00
13.2125282 42.7862129 -2.42557 5.0000000e-01 0.0000000e+00 5.0000000e+02 5.0000000e+02 3.3317178e-01 -9.7312523e+01 3.6000000e+01 2.1000000e+02 2.9687444e+00 3.6000000e+00
13.2082338 42.7880325 -2.71946 5.0000000e-01 -5.0000000e-01 5.0000000e+02 5.0000000e+02 9.5353364e-01 -3.7180790e+01 3.6000000e+01 2.1000000e+02 2.7839438e+00 3.6000000e+00
13.2039385 42.7898521 -3.01336 5.0000000e-01 -1.0000000e+00 5.0000000e+02 5.0000000e+02 1.8295143e+00 -2.1010314e+01 3.6000000e+01 2.1000000e+02 2.5991979e+00 3.6000000e+00
13.1996431 42.7916718 -3.30725 5.0000000e-01 -1.5000000e+00 5.0000000e+02 5.0000000e+02 2.6551796e+00 -1.6358499e+01 3.6000000e+01 2.1000000e+02 2.4145194e+00 3.6000000e+00
13.1953487 42.7934914 -3.60114 5.0000000e-01 -2.0000000e+00 5.0000000e+02 5.0000000e+02 3.1245953e+00 -1.5060702e+01 3.6000000e+01 2.1000000e+02 2.2299249e+00 3.6000000e+00
13.1910534 42.7953110 -3.89503 5.0000000e-01 -2.5000000e+00 5.0000000e+02 5.0000000e+02 3.0785223e+00 -1.5572259e+01 3.6000000e+01 2.1000000e+02 2.0454372e+00 3.6000000e+00
13.1867590 42.7971306 -4.18893 5.0000000e-01 -3.0000000e+00 5.0000000e+02 5.0000000e+02 2.7060110e+00 -1.7280784e+01 3.6000000e+01 2.1000000e+02 1.8610881e+00 3.6000000e+00
13.1824636 42.7989502 -4.48282 5.0000000e-01 -3.5000000e+00 5.0000000e+02 5.0000000e+02 2.2235617e+00 -2.0033549e+01 3.6000000e+01 2.1000000e+02 1.6769232e+00 3.6000000e+00
13.1781693 42.8007698 -4.77671 5.0000000e-01 -4.0000000e+00 5.0000000e+02 5.0000000e+02 1.8476747e+00 -2.2858764e+01 3.6000000e+01 2.1000000e+02 1.4930107e+00 3.6000000e+00
13.1738739 42.8025894 -5.0706 5.0000000e-01 -4.5000000e+00 5.0000000e+02 5.0000000e+02 1.6299167e+00 -2.4497735e+01 3.6000000e+01 2.1000000e+02 1.3094570e+00 3.6000000e+00
13.1695795 42.8044090 -5.3645 5.0000000e-01 -5.0000000e+00 5.0000000e+02 5.0000000e+02 1.4568765e+00 -2.5529374e+01 3.6000000e+01 2.1000000e+02 1.1264375e+00 3.6000000e+00
