% lon        lat           depth(km)    x(km)   y(km)        dx              dy              slip(m)     rake             dip          strike      timerup(s)    rise(s)
13.0982161 42.9598236 -4.40052 -5.0000000e-01 -5.0000000e+00 5.0000000e+02 5.0000000e+02 1.4451751e-01 -8.7512687e+01 4.7000000e+01 1.5500000e+02 5.1166246e+00 3.6000000e+00
13.0944166 42.9585266 -4.7662 -5.0000000e-01 -5.5000000e+00 5.0000000e+02 5.0000000e+02 1.5183102e-01 -8.1308977e+01 4.7000000e+01 1.5500000e+02 5.0317867e+00 3.6000000e+00
13.0906162 42.9572296 -5.13188 -5.0000000e-01 -6.0000000e+00 5.0000000e+02 5.0000000e+02 1.5362290e-01 -7.9460880e+01 4.7000000e+01 1.5500000e+02 4.9519374e+00 3.6000000e+00
13.0868168 42.9559326 -5.49755 -5.0000000e-01 -6.5000000e+00 5.0000000e+02 5.0000000e+02 1.4695351e-01 -8.4305497e+01 4.7000000e+01 1.5500000e+02 4.8773215e+00 3.6000000e+00
13.0830164 42.9546356 -5.86323 -5.0000000e-01 -7.0000000e+00 5.0000000e+02 5.0000000e+02 1.3314354e-01 -9.5598279e+01 4.7000000e+01 1.5500000e+02 4.8081829e+00 3.6000000e+00
13.0792160 42.9533386 -6.22891 -5.0000000e-01 -7.5000000e+00 5.0000000e+02 5.0000000e+02 1.1781661e-01 -1.1031177e+02 4.7000000e+01 1.5500000e+02 4.7447608e+00 3.6000000e+00
13.0754166 42.9520416 -6.59459 -5.0000000e-01 -8.0000000e+00 5.0000000e+02 5.0000000e+02 1.0659639e-01 -1.2051830e+02 4.7000000e+01 1.5500000e+02 4.6872874e+00 3.6000000e+00
13.0716162 42.9507484 -6.96026 -5.0000000e-01 -8.5000000e+00 5.0000000e+02 5.0000000e+02 1.0184608e-01 -1.2062921e+02 4.7000000e+01 1.5500000e+02 4.6359839e+00 3.6000000e+00
13.0678167 42.9494514 -7.32594 -5.0000000e-01 -9.0000000e+00 5.0000000e+02 5.0000000e+02 1.0027856e-01 -1.1436218e+02 4.7000000e+01 1.5500000e+02 4.5910572e+00 3.6000000e+00
13.0640163 42.9481544 -7.69162 -5.0000000e-01 -9.5000000e+00 5.0000000e+02 5.0000000e+02 9.9041927e-02 -1.0667407e+02 4.7000000e+01 1.5500000e+02 4.5526960e+00 3.6000000e+00
13.0602160 42.9468575 -8.05729 -5.0000000e-01 -1.0000000e+01 5.0000000e+02 5.0000000e+02 9.5284265e-02 -1.0289299e+02 4.7000000e+01 1.5500000e+02 4.5210675e+00 3.6000000e+00
